N,Data_Type,Algorithm,Time_ms,Memory_KB
10,Random,Bubble,1.1903,0.11
10,Random,Selection,0.0137,0.11
10,Random,Insertion,0.0101,0.08
10,Random,Quick,0.0368,0.42
10,Random,Merge,0.0373,0.26
10,Random,Heap,0.0142,0.27
10,Random,Counting,19.5934,132.79
10,Random,Radix,0.2082,1.14
10,Random,Bucket,0.0653,0.44
10,Random,Built-in,0.0066,0.15
10,Sorted,Bubble,0.0359,0.11
10,Sorted,Selection,0.0145,0.11
10,Sorted,Insertion,0.009,0.08
10,Sorted,Quick,0.0296,0.38
10,Sorted,Merge,0.0319,0.29
10,Sorted,Heap,0.0143,0.27
10,Sorted,Counting,0.02,0.34
10,Sorted,Radix,0.0244,0.78
10,Sorted,Bucket,0.0217,0.41
10,Sorted,Built-in,0.0029,0.15
10,Reversed,Bubble,0.0135,0.11
10,Reversed,Selection,0.0119,0.11
10,Reversed,Insertion,0.006,0.08
10,Reversed,Quick,0.0265,0.39
10,Reversed,Merge,0.0251,0.29
10,Reversed,Heap,0.0112,0.27
10,Reversed,Counting,0.0152,0.34
10,Reversed,Radix,0.0236,0.78
10,Reversed,Bucket,0.0191,0.41
10,Reversed,Built-in,0.0024,0.15
10,Almost Sorted,Bubble,0.0102,0.11
10,Almost Sorted,Selection,0.0106,0.11
10,Almost Sorted,Insertion,0.0026,0.08
10,Almost Sorted,Quick,0.0242,0.38
10,Almost Sorted,Merge,0.0241,0.29
10,Almost Sorted,Heap,0.0108,0.27
10,Almost Sorted,Counting,0.0151,0.34
10,Almost Sorted,Radix,0.0248,0.78
10,Almost Sorted,Bucket,0.0166,0.41
10,Almost Sorted,Built-in,0.0038,0.15
500,Random,Bubble,42.8079,0.23
500,Random,Selection,30.7277,0.23
500,Random,Insertion,20.104,0.14
500,Random,Quick,1.699,17.52
500,Random,Merge,1.8104,8.26
500,Random,Heap,2.1951,0.44
500,Random,Counting,29.2861,175.3
500,Random,Radix,1.3799,43.36
500,Random,Bucket,0.6645,9.09
500,Random,Built-in,0.0394,3.98
500,Sorted,Bubble,21.0029,0.23
500,Sorted,Selection,33.8249,0.23
500,Sorted,Insertion,0.3606,0.14
500,Sorted,Quick,1.3573,12.34
500,Sorted,Merge,1.7408,9.8
500,Sorted,Heap,2.6819,0.44
500,Sorted,Counting,0.7405,15.72
500,Sorted,Radix,0.645,27.73
500,Sorted,Bucket,0.3149,8.72
500,Sorted,Built-in,0.008,3.98
500,Reversed,Bubble,46.8917,0.23
500,Reversed,Selection,31.1961,0.23
500,Reversed,Insertion,26.6007,0.14
